sepal.length,sepal.width,petal.length,petal.width,variety
5.341465869151535,2.6567170651236984,5.3087384813273895,1.544287223761447,Setosa
4.180540165708286,2.501718629011516,3.5625262432198213,0.9165153335263188,Setosa
4.772470313109238,2.9010615422916404,4.073097099383246,-0.06831596865129043,Setosa
6.0124351127866245,3.5818764794945466,3.331445427249604,0.5757031742207157,Versicolor
4.5989277075177375,3.872202572616752,3.798883705766248,1.7016151717799368,Versicolor
4.2747874501903524,3.6099987638433415,5.249578056275069,1.1920614992256546,Versicolor
5.3804886900371525,2.6628562213053217,1.7037348691149936,1.1598958215240758,Virginica
5.260142512938884,3.9889922124171,5.222262736042147,1.3129453605320822,Setosa
5.301353093895667,2.207255296790691,3.066995909195948,1.1024766311620928,Setosa
4.2739480205669595,2.054257649410431,0.7296005328382602,1.8969704477954528,Setosa
3.890051207818957,4.3383061883234815,1.366243056109638,1.9733553924157117,Versicolor
6.026953502884036,2.097964479788689,5.38345093861164,0.13683985892095155,Versicolor
5.825942471376095,2.7133813032386405,4.445055629396756,1.525797563569414,Versicolor
5.6065949518959926,2.454770860456652,5.376591940968028,0.8359098137030196,Virginica
4.263834118152055,3.4889074774979947,2.050799663424351,1.6414345950275484,Virginica
5.066696391520312,3.7100440833727415,3.072856595202444,1.488928387273356,Versicolor
5.705895103660498,2.8998833781707467,1.7476980841024787,1.0736915608384,Versicolor
4.455274925742769,2.930788342936024,0.2983163826988946,1.6166256201848177,Setosa
4.372913233208175,2.874037432941932,1.244046417484243,1.8952616017704136,Versicolor
5.223575147986181,2.7996686307015963,3.8208955833242255,0.5694244780589042,Virginica
7.759921741304878,1.7274982450106957,1.0397913146992546,2.4991717253069656,Setosa
4.874129501381388,3.8263502436646393,2.660056240065072,0.7793878634803584,Versicolor
4.94138693355512,2.8272220589366284,3.6016458351113902,1.1894693328713488,Virginica
7.427680380306946,3.286161838043677,3.3352655905743127,0.3573718058151823,Setosa
7.069040235874494,3.083243841644035,5.0088348986001545,0.13295912154734327,Versicolor
4.4648430224393705,3.3127234014286757,3.093999746755413,1.232350443791114,Versicolor
5.289981716055118,2.818130244390611,3.9234980713912018,1.2070947373895382,Setosa
5.19646565880644,3.9436130574853383,1.3592127280261803,0.9583440232348142,Setosa
4.221030747146078,3.0036357276265866,3.8754606775691753,1.6452475816085324,Setosa
6.814872504275191,3.100906776532532,0.9766347611891084,2.387726330928928,Virginica
5.551260886875597,3.11638204678164,5.919732186908942,0.2696514183356975,Setosa
5.533067567276218,2.4215021433253314,4.7968395537249435,1.9161572214768008,Versicolor
5.648466737273959,4.313470771503034,5.355834633146007,0.19306133279989648,Virginica
4.4903919383912445,3.3634466298513366,4.384170372648212,0.36304315857962544,Virginica
5.6637733814131455,2.779554982673331,5.1002944914453705,1.3439624580343543,Versicolor
4.957404449114323,2.915792001609945,2.6190083336045693,1.157384771361199,Setosa
4.12855616819625,4.5557819889129805,6.4073711577534205,1.3935258873756011,Setosa
5.8596105665906455,3.7036990620027703,3.457544502674976,2.0137310158734287,Versicolor
5.842228647505998,2.470648799432461,2.880426351498752,0.7511838734075654,Virginica
5.2079630769429555,3.2507896227400583,3.933603942523929,0.5318039062375086,Versicolor
4.0574858147485875,3.688036061707896,3.7089637333773817,-0.2168653440142093,Setosa
5.445029908753242,2.5043872166265926,2.0469353606258966,1.9633419563725445,Virginica
6.5465493391090215,3.566986188973158,1.4068415598938266,1.5504460606957748,Setosa
4.323541756825915,3.2112432451895305,2.8723651206419185,2.2339013566485746,Versicolor
4.2232954638876965,3.885486659193637,2.3938527955489453,1.9198355769868445,Virginica
4.229087303699703,2.983036920835066,5.188837026325978,0.938130892076596,Virginica
6.060296584680315,3.7499335429584,4.209586280473164,1.176889794208276,Versicolor
4.571772603032429,2.6597020686170234,2.137154507374849,1.2209321776869857,Virginica
4.113418735615721,3.1117560516235416,2.2843045864155886,0.3862091698191348,Versicolor
6.275945500777239,3.4984463272394435,3.2018049472705137,2.134116532310298,Versicolor
4.280360884113352,2.737667570353992,5.552254105239023,1.8520143319446825,Versicolor
4.462944901676291,2.069229492736393,2.4938375817003977,0.7056702208495443,Virginica
5.7053768091237425,3.2165375902624938,2.4516401520583075,0.7743049651849827,Virginica
4.211116729298141,3.3655789208645355,2.0500251465053068,1.6570984946044138,Setosa
5.215111546407867,2.538946422875838,1.5497812528195745,1.8955603684252584,Virginica
